,projection,year,female occupation,male occupation,male_bias,female_bias,occupation_combined,reshaped_labels,color
0,-0.1375515942086957,1974,عاملة,عامل,0.0927243665507867,-0.2302759607594824,عاملة-عامل,ﻞﻣﺎﻋ-ﺔﻠﻣﺎﻋ,"(0.9783160322952711, 0.7757785467128027, 0.6742791234140715, 1.0)"
1,-0.1293435398235571,1974,ممثلة,ممثل,0.1579744346931225,-0.2873179745166796,ممثلة-ممثل,ﻞﺜﻤﻣ-ﺔﻠﺜﻤﻣ,"(0.9810841983852365, 0.7923875432525951, 0.6955017301038062, 1.0)"
2,-0.1244482190044928,1974,ممرضة,ممرض,-0.0482905899116216,-0.1727388089161145,ممرضة-ممرض,ﺽﺮﻤﻣ-ﺔﺿﺮﻤﻣ,"(0.9838523644752019, 0.8089965397923875, 0.7167243367935409, 1.0)"
3,-0.1186806488475181,1974,موظفة,موظف,0.083626884217956,-0.2023075330654741,موظفة-موظف,ﻒﻇﻮﻣ-ﺔﻔﻇﻮﻣ,"(0.9852364475201846, 0.8173010380622837, 0.7273356401384083, 1.0)"
4,-0.0955311033149343,1974,مصورة,مصور,0.0051715936700746,-0.100702696985009,مصورة-مصور,ﺭﻮﺼﻣ-ﺓﺭﻮﺼﻣ,"(0.9912341407151096, 0.8631295655517108, 0.7877739331026529, 1.0)"
5,0.0718070838502519,1974,صحفية,صحفي,0.2249035918423823,-0.1530965079921304,صحفية-صحفي,ﻲﻔﺤﺻ-ﺔﻴﻔﺤﺻ,"(0.8605151864667436, 0.9174163783160324, 0.9487120338331411, 1.0)"
6,0.0775960273403861,1974,وزيرة,وزير,0.1437149043249715,-0.0661188769845854,وزيرة-وزير,ﺮﻳﺯﻭ-ﺓﺮﻳﺯﻭ,"(0.8546712802768167, 0.914648212226067, 0.9476355247981546, 1.0)"
7,0.1114340729172974,1974,سكرتيرة,سكرتير,0.1446359923136539,-0.0332019193963565,سكرتيرة-سكرتير,ﺮﻴﺗﺮﻜﺳ-ﺓﺮﻴﺗﺮﻜﺳ,"(0.7905420991926184, 0.8832756632064592, 0.9328719723183392, 1.0)"
8,0.1338184588980159,1974,كاتبة,كاتب,0.3009079789189511,-0.1670895200209352,كاتبة-كاتب,ﺐﺗﺎﻛ-ﺔﺒﺗﺎﻛ,"(0.7324106113033451, 0.8537485582468283, 0.9162629757785468, 1.0)"
9,0.1429779725321825,1974,مديرة,مدير,0.1480642190010147,0.0050862464688321,مديرة-مدير,ﺮﻳﺪﻣ-ﺓﺮﻳﺪﻣ,"(0.7130334486735876, 0.8439061899269515, 0.9107266435986161, 1.0)"
