Year,D Value,D After Value
1971,0.87,0.869
1972,0.84,0.829
1974,1.057,1.047
1978,1.022,1.009
1979,1.003,0.986
1980,0.983,0.976
1981,0.917,0.911
1983,0.886,0.855
1984,0.837,0.787
1985,1.314,1.308
1986,0.998,0.972
1987,1.058,1.045
1989,0.802,0.754
1991,1.21,1.2
1992,1.476,1.435
1993,1.373,1.368
1994,1.326,1.3
1995,1.464,1.472
1996,1.303,1.288
1997,1.503,1.504
1998,1.601,1.526
2000,1.422,1.423
2001,1.498,1.491
2002,1.524,1.542
2003,1.104,1.097
2004,1.239,1.252
2005,1.485,1.501
2006,1.53,1.544
2007,1.277,1.284
2008,1.613,1.624
2009,1.32,1.315
