,projection,year,female occupation,male occupation,male_bias,female_bias,occupation_combined,reshaped_labels,color
0,-0.19654812,1934,الجندية,الجندي,-0.09165405,0.28820217,الجندية-الجندي,ﻱﺪﻨﺠﻟﺍ-ﺔﻳﺪﻨﺠﻟﺍ,"(0.9575547866205306, 0.6512110726643597, 0.515109573241061, 1.0)"
1,-0.19416496,1934,مديرة,مدير,-0.15571532,0.34988028,مديرة-مدير,ﺮﻳﺪﻣ-ﺓﺮﻳﺪﻣ,"(0.9589388696655133, 0.659515570934256, 0.5257208765859284, 1.0)"
2,-0.14875172,1934,بائعة,بائع,0.13520135,0.28395307,بائعة-بائع,ﻊﺋﺎﺑ-ﺔﻌﺋﺎﺑ,"(0.9741637831603229, 0.7508650519031141, 0.6424452133794694, 1.0)"
3,-0.13339886,1934,عاملة,عامل,0.13840976,0.27180862,عاملة-عامل,ﻞﻣﺎﻋ-ﺔﻠﻣﺎﻋ,"(0.9797001153402538, 0.7840830449826989, 0.6848904267589389, 1.0)"
4,-0.11880422,1934,الكاتبة,الكاتب,-0.09858388,0.2173881,الكاتبة-الكاتب,ﺐﺗﺎﻜﻟﺍ-ﺔﺒﺗﺎﻜﻟﺍ,"(0.9852364475201846, 0.8173010380622837, 0.7273356401384083, 1.0)"
5,-0.10084948,1934,ممثلة,ممثل,0.2168085,0.31765798,ممثلة-ممثل,ﻞﺜﻤﻣ-ﺔﻠﺜﻤﻣ,"(0.9921568627450981, 0.8588235294117647, 0.7803921568627451, 1.0)"
6,-0.09531583,1934,خادمة,خادم,0.03918752,0.13450335,خادمة-خادم,ﻡﺩﺎﺧ-ﺔﻣﺩﺎﺧ,"(0.9912341407151096, 0.8631295655517108, 0.7877739331026529, 1.0)"
0,-0.46948123,1935,بائعة,بائع,-0.028954288,0.49843553,بائعة-بائع,ﻊﺋﺎﺑ-ﺔﻌﺋﺎﺑ,"(0.48465974625144176, 0.02583621683967705, 0.1344867358708189, 1.0)"
1,-0.13429326,1935,عاملة,عامل,0.1563594,0.29065266,عاملة-عامل,ﻞﻣﺎﻋ-ﺔﻠﻣﺎﻋ,"(0.9797001153402538, 0.7840830449826989, 0.6848904267589389, 1.0)"
2,-0.093069285,1935,الجندية,الجندي,-0.1458888,0.23895809,الجندية-الجندي,ﻱﺪﻨﺠﻟﺍ-ﺔﻳﺪﻨﺠﻟﺍ,"(0.9903114186851212, 0.867435601691657, 0.7951557093425605, 1.0)"
3,-0.082570806,1935,الكاتبة,الكاتب,-0.22089748,0.3034683,الكاتبة-الكاتب,ﺐﺗﺎﻜﻟﺍ-ﺔﺒﺗﺎﻜﻟﺍ,"(0.9884659746251442, 0.8760476739715493, 0.809919261822376, 1.0)"
4,-0.0704397,1935,مديرة,مدير,-0.15817767,0.22861737,مديرة-مدير,ﺮﻳﺪﻣ-ﺓﺮﻳﺪﻣ,"(0.9856978085351787, 0.8889657823913879, 0.8320645905420992, 1.0)"
5,-0.021292627,1935,ممرضة,ممرض,0.17190555,0.19319817,ممرضة-ممرض,ﺽﺮﻤﻣ-ﺔﺿﺮﻤﻣ,"(0.9737024221453288, 0.9449442522106881, 0.9280276816608996, 1.0)"
6,-0.016960822,1935,خادمة,خادم,-0.06964765,0.08660847,خادمة-خادم,ﻡﺩﺎﺧ-ﺔﻣﺩﺎﺧ,"(0.9727797001153402, 0.9492502883506344, 0.9354094579008074, 1.0)"
7,0.050960153,1935,ممثلة,ممثل,0.3050328,0.25407264,ممثلة-ممثل,ﻞﺜﻤﻣ-ﺔﻠﺜﻤﻣ,"(0.8897347174163783, 0.9312572087658594, 0.9540945790080738, 1.0)"
8,0.11419841,1935,راقصة,راقص,0.16630942,0.052111007,راقصة-راقص,ﺺﻗﺍﺭ-ﺔﺼﻗﺍﺭ,"(0.7808535178777396, 0.8783544790465208, 0.9301038062283737, 1.0)"
0,-0.17866263,1936,الصحفية,الصحفي,-0.06160777,0.24027039,الصحفية-الصحفي,ﻲﻔﺤﺼﻟﺍ-ﺔﻴﻔﺤﺼﻟﺍ,"(0.9644752018454441, 0.6927335640138407, 0.5681660899653976, 1.0)"
1,-0.06394945,1936,عاملة,عامل,-0.035859507,0.09980896,عاملة-عامل,ﻞﻣﺎﻋ-ﺔﻠﻣﺎﻋ,"(0.9838523644752019, 0.8975778546712803, 0.8468281430219147, 1.0)"
2,0.01064384,1936,خادمة,خادم,-0.09646475,0.08582091,خادمة-خادم,ﻡﺩﺎﺧ-ﺔﻣﺩﺎﺧ,"(0.9540176855055748, 0.9617070357554787, 0.9659361783929258, 1.0)"
3,0.02265548,1936,الممثلة,الممثل,-0.12964031,0.10698483,الممثلة-الممثل,ﻞﺜﻤﻤﻟﺍ-ﺔﻠﺜﻤﻤﻟﺍ,"(0.936485966935794, 0.9534025374855825, 0.9627066512879662, 1.0)"
4,0.07610431,1936,راقصة,راقص,0.1310809,0.054976583,راقصة-راقص,ﺺﻗﺍﺭ-ﺔﺼﻗﺍﺭ,"(0.8546712802768167, 0.914648212226067, 0.9476355247981546, 1.0)"
5,0.14177577,1936,الكاتبة,الكاتب,-0.21472476,0.07294899,الكاتبة-الكاتب,ﺐﺗﺎﻜﻟﺍ-ﺔﺒﺗﺎﻜﻟﺍ,"(0.7130334486735876, 0.8439061899269515, 0.9107266435986161, 1.0)"
6,0.46300098,1936,مديرة,مدير,-0.46684867,-0.003847694,مديرة-مدير,ﺮﻳﺪﻣ-ﺓﺮﻳﺪﻣ,"(0.05836216839677047, 0.26297577854671284, 0.48419838523644754, 1.0)"
