projection,year,female occupation,male occupation,male_bias,female_bias,occupation_combined,reshaped_labels,color
-0.18904050769618763,file,ممرضة,ممرض,-0.0036081831243848193,-0.19264869082057245,ممرضة-ممرض,ﺽﺮﻤﻣ-ﺔﺿﺮﻤﻣ,"(0.960322952710496, 0.6678200692041522, 0.5363321799307956, 1.0)"
-0.16168540436132725,file,عاملة,عامل,0.0963033412613655,-0.25798874562269275,عاملة-عامل,ﻞﻣﺎﻋ-ﺔﻠﻣﺎﻋ,"(0.9700115340253749, 0.7259515570934255, 0.6106113033448672, 1.0)"
-0.09227786201766086,file,مهندسة,مهندس,0.1429047797951693,-0.23518264181283016,مهندسة-مهندس,ﺱﺪﻨﻬﻣ-ﺔﺳﺪﻨﻬﻣ,"(0.9903114186851212, 0.867435601691657, 0.7951557093425605, 1.0)"
-0.0780603219336494,file,موظفة,موظف,0.13708083617648334,-0.21514115811013274,موظفة-موظف,ﻒﻇﻮﻣ-ﺔﻔﻇﻮﻣ,"(0.9866205305651673, 0.8846597462514417, 0.8246828143021915, 1.0)"
-0.06598891282504103,file,راقصة,راقص,0.09558327833921466,-0.1615721911642557,راقصة-راقص,ﺺﻗﺍﺭ-ﺔﺼﻗﺍﺭ,"(0.9838523644752019, 0.8975778546712803, 0.8468281430219147, 1.0)"
-0.06351702919363286,file,خادمة,خادم,0.11134500982928924,-0.1748620390229221,خادمة-خادم,ﻡﺩﺎﺧ-ﺔﻣﺩﺎﺧ,"(0.9838523644752019, 0.8975778546712803, 0.8468281430219147, 1.0)"
-0.0450617402032375,file,سفيرة,سفير,0.14615235887030076,-0.19121409907353826,سفيرة-سفير,ﺮﻴﻔﺳ-ﺓﺮﻴﻔﺳ,"(0.9792387543252595, 0.9191080353710112, 0.8837370242214533, 1.0)"
-0.04119768662857082,file,مديرة,مدير,0.1664238972655248,-0.20762158389409563,مديرة-مدير,ﺮﻳﺪﻣ-ﺓﺮﻳﺪﻣ,"(0.9783160322952711, 0.9234140715109573, 0.891118800461361, 1.0)"
-0.040627365037262,file,صيدلانية,صيدلي,0.17496639417610518,-0.21559375921336718,صيدلانية-صيدلي,ﻲﻟﺪﻴﺻ-ﺔﻴﻧﻻﺪﻴﺻ,"(0.9783160322952711, 0.9234140715109573, 0.891118800461361, 1.0)"
-0.03844382333090032,file,عازفة,عازف,0.1634335210943688,-0.2018773444252691,عازفة-عازف,ﻑﺯﺎﻋ-ﺔﻓﺯﺎﻋ,"(0.9773933102652826, 0.9277201076509035, 0.8985005767012687, 1.0)"
-0.030380362995340943,file,رسامة,رسام,0.14731717109022915,-0.1776975340855701,رسامة-رسام,ﻡﺎﺳﺭ-ﺔﻣﺎﺳﺭ,"(0.9755478662053056, 0.9363321799307959, 0.9132641291810842, 1.0)"
-0.018394667352351596,file,سكرتيرة,سكرتير,0.18056082651542957,-0.19895549386778116,سكرتيرة-سكرتير,ﺮﻴﺗﺮﻜﺳ-ﺓﺮﻴﺗﺮﻜﺳ,"(0.9727797001153402, 0.9492502883506344, 0.9354094579008074, 1.0)"
-0.017079616654193275,file,حارسة,حارس,0.13870655886863448,-0.15578617552282775,حارسة-حارس,ﺱﺭﺎﺣ-ﺔﺳﺭﺎﺣ,"(0.9727797001153402, 0.9492502883506344, 0.9354094579008074, 1.0)"
-0.00789869551253336,file,جندية,جندي,0.14840251263516854,-0.1563012081477019,جندية-جندي,ﻱﺪﻨﺟ-ﺔﻳﺪﻨﺟ,"(0.9709342560553633, 0.9578623606305268, 0.9501730103806229, 1.0)"
-0.007559092347588892,file,باحثة,باحث,0.20837305478878088,-0.21593214713636977,باحثة-باحث,ﺚﺣﺎﺑ-ﺔﺜﺣﺎﺑ,"(0.9700115340253749, 0.9621683967704728, 0.9575547866205305, 1.0)"
0.015173201160399274,file,دكتورة,دكتور,0.17864312905750943,-0.16346992789711015,دكتورة-دكتور,ﺭﻮﺘﻛﺩ-ﺓﺭﻮﺘﻛﺩ,"(0.9481737793156478, 0.9589388696655132, 0.9648596693579392, 1.0)"
0.016728977681346846,file,وزيرة,وزير,0.17195115432954133,-0.1552221766481945,وزيرة-وزير,ﺮﻳﺯﻭ-ﺓﺮﻳﺯﻭ,"(0.942329873125721, 0.956170703575548, 0.9637831603229527, 1.0)"
0.02130240870550333,file,بائعة,بائع,0.13255056411044872,-0.11124815540494538,بائعة-بائع,ﻊﺋﺎﺑ-ﺔﻌﺋﺎﺑ,"(0.936485966935794, 0.9534025374855825, 0.9627066512879662, 1.0)"
0.023070634288613723,file,بروفيسورة,بروفيسور,0.2087576005104282,-0.18568696622181446,بروفيسورة-بروفيسور,ﺭﻮﺴﻴﻓﻭﺮﺑ-ﺓﺭﻮﺴﻴﻓﻭﺮﺑ,"(0.936485966935794, 0.9534025374855825, 0.9627066512879662, 1.0)"
0.024573426120623243,file,فنانة,فنان,0.19439720416222578,-0.16982377804160254,فنانة-فنان,ﻥﺎﻨﻓ-ﺔﻧﺎﻨﻓ,"(0.930642060745867, 0.9506343713956171, 0.9616301422529796, 1.0)"
0.03147157299729725,file,ممثلة,ممثل,0.14098136361503733,-0.10950979061774008,ممثلة-ممثل,ﻞﺜﻤﻣ-ﺔﻠﺜﻤﻣ,"(0.9189542483660131, 0.9450980392156864, 0.9594771241830066, 1.0)"
