projection,year,female occupation,male occupation,male_bias,female_bias,occupation_combined,reshaped_labels,color
-0.18429678847130082,odel,ممرضة,ممرض,-0.18033363934367747,0.3646304278149783,ممرضة-ممرض,ﺽﺮﻤﻣ-ﺔﺿﺮﻤﻣ,"(0.9617070357554787, 0.6761245674740484, 0.546943483275663, 1.0)"
-0.18313203349538684,odel,خادمة,خادم,-0.13429352847833434,0.3174255619737212,خادمة-خادم,ﻡﺩﺎﺧ-ﺔﻣﺩﺎﺧ,"(0.9630911188004614, 0.6844290657439446, 0.5575547866205304, 1.0)"
-0.17396672911849567,odel,أديبة,أديب,-0.09937941169131606,0.27334614080981173,أديبة-أديب,ﺐﻳﺩﺃ-ﺔﺒﻳﺩﺃ,"(0.9658592848904268, 0.701038062283737, 0.5787773933102651, 1.0)"
-0.15029313384113793,odel,طبيبة,طبيب,-0.18749855338559354,0.3377916872267315,طبيبة-طبيب,ﺐﻴﺒﻃ-ﺔﺒﻴﺒﻃ,"(0.9741637831603229, 0.7508650519031141, 0.6424452133794694, 1.0)"
-0.10755312965629049,odel,صيدلانية,صيدلي,-0.22374775738881486,0.33130088704510535,صيدلانية-صيدلي,ﻲﻟﺪﻴﺻ-ﺔﻴﻧﻻﺪﻴﺻ,"(0.9893886966551326, 0.8422145328719722, 0.7591695501730104, 1.0)"
-0.1042099209585135,odel,راقصة,راقص,-0.11223722948987022,0.21644715044838372,راقصة-راقص,ﺺﻗﺍﺭ-ﺔﺼﻗﺍﺭ,"(0.9907727797001153, 0.8505190311418684, 0.7697808535178777, 1.0)"
-0.08406417221226059,odel,رسامة,رسام,-0.29228244731955305,0.37634661953181364,رسامة-رسام,ﻡﺎﺳﺭ-ﺔﻣﺎﺳﺭ,"(0.9884659746251442, 0.8760476739715493, 0.809919261822376, 1.0)"
-0.07367530001028938,odel,عاملة,عامل,-0.18605918416607725,0.25973448417636663,عاملة-عامل,ﻞﻣﺎﻋ-ﺔﻠﻣﺎﻋ,"(0.9856978085351787, 0.8889657823913879, 0.8320645905420992, 1.0)"
-0.054874461755447745,odel,حارسة,حارس,-0.17191128390410282,0.22678574565955056,حارسة-حارس,ﺱﺭﺎﺣ-ﺔﺳﺭﺎﺣ,"(0.982006920415225, 0.9061899269511726, 0.8615916955017301, 1.0)"
-0.05319214604482747,odel,باحثة,باحث,-0.27367785381343973,0.3268699998582672,باحثة-باحث,ﺚﺣﺎﺑ-ﺔﺜﺣﺎﺑ,"(0.9810841983852365, 0.9104959630911187, 0.8689734717416377, 1.0)"
-0.05176769467246023,odel,شاعرة,شاعر,-0.25034090856290386,0.3021086032353641,شاعرة-شاعر,ﺮﻋﺎﺷ-ﺓﺮﻋﺎﺷ,"(0.9810841983852365, 0.9104959630911187, 0.8689734717416377, 1.0)"
-0.046685210296605384,odel,محامية,محامي,-0.21504453378479982,0.2617297440814052,محامية-محامي,ﻲﻣﺎﺤﻣ-ﺔﻴﻣﺎﺤﻣ,"(0.9792387543252595, 0.9191080353710112, 0.8837370242214533, 1.0)"
-0.03776863162815655,odel,موظفة,موظف,-0.21512019805858865,0.2528888296867452,موظفة-موظف,ﻒﻇﻮﻣ-ﺔﻔﻇﻮﻣ,"(0.9773933102652826, 0.9277201076509035, 0.8985005767012687, 1.0)"
-0.03537795587134393,odel,البروفيسورة,البروفيسور,-0.14744213702777162,0.18282009289911555,البروفيسورة-البروفيسور,ﺭﻮﺴﻴﻓﻭﺮﺒﻟﺍ-ﺓﺭﻮﺴﻴﻓﻭﺮﺒﻟﺍ,"(0.9773933102652826, 0.9277201076509035, 0.8985005767012687, 1.0)"
-0.029226993379775384,odel,دكتورة,دكتور,-0.24383048114527842,0.2730574745250538,دكتورة-دكتور,ﺭﻮﺘﻛﺩ-ﺓﺭﻮﺘﻛﺩ,"(0.9755478662053056, 0.9363321799307959, 0.9132641291810842, 1.0)"
-0.02191061461196503,odel,بائعة,بائع,-0.2370526035714542,0.2589632181834192,بائعة-بائع,ﻊﺋﺎﺑ-ﺔﻌﺋﺎﺑ,"(0.9737024221453288, 0.9449442522106881, 0.9280276816608996, 1.0)"
-0.01937525717923,odel,أستاذة,أستاذ,-0.2504040600872544,0.2697793172664844,أستاذة-أستاذ,ﺫﺎﺘﺳﺃ-ﺓﺫﺎﺘﺳﺃ,"(0.9727797001153402, 0.9492502883506344, 0.9354094579008074, 1.0)"
-0.017115796268406314,odel,فنانة,فنان,-0.2886515734364365,0.3057673697048428,فنانة-فنان,ﻥﺎﻨﻓ-ﺔﻧﺎﻨﻓ,"(0.9727797001153402, 0.9492502883506344, 0.9354094579008074, 1.0)"
0.0038382784962330274,odel,جندية,جندي,-0.20828206841590444,0.2044437899196714,جندية-جندي,ﻱﺪﻨﺟ-ﺔﻳﺪﻨﺟ,"(0.9657054978854287, 0.9672433679354094, 0.9680891964628989, 1.0)"
0.007432365332384894,odel,مهندسة,مهندس,-0.30940655652265264,0.30197419119026775,مهندسة-مهندس,ﺱﺪﻨﻬﻣ-ﺔﺳﺪﻨﻬﻣ,"(0.9598615916955018, 0.9644752018454441, 0.9670126874279124, 1.0)"
0.00920060750736032,odel,مغنية,مغني,-0.24311291448114924,0.23391230697378892,مغنية-مغني,ﻲﻨﻐﻣ-ﺔﻴﻨﻐﻣ,"(0.9540176855055748, 0.9617070357554787, 0.9659361783929258, 1.0)"
0.02208841253273222,odel,نائبة,نائب,-0.24656940256190382,0.2244809900291716,نائبة-نائب,ﺐﺋﺎﻧ-ﺔﺒﺋﺎﻧ,"(0.936485966935794, 0.9534025374855825, 0.9627066512879662, 1.0)"
0.0364363417431329,odel,عازفة,عازف,-0.21278726323658712,0.17635092149345422,عازفة-عازف,ﻑﺯﺎﻋ-ﺔﻓﺯﺎﻋ,"(0.9131103421760862, 0.9423298731257209, 0.95840061514802, 1.0)"
0.03865174116889829,odel,مصورة,مصور,-0.15006014260858194,0.11140840143968365,مصورة-مصور,ﺭﻮﺼﻣ-ﺓﺭﻮﺼﻣ,"(0.9131103421760862, 0.9423298731257209, 0.95840061514802, 1.0)"
0.05522533423100778,odel,سكرتيرة,سكرتير,-0.2222453630723077,0.1670200288412999,سكرتيرة-سكرتير,ﺮﻴﺗﺮﻜﺳ-ﺓﺮﻴﺗﺮﻜﺳ,"(0.8838908112264514, 0.9284890426758939, 0.9530180699730872, 1.0)"
0.0599791786231359,odel,سفيرة,سفير,-0.23108584152155323,0.17110666289841733,سفيرة-سفير,ﺮﻴﻔﺳ-ﺓﺮﻴﻔﺳ,"(0.8780469050365245, 0.9257208765859286, 0.9519415609381008, 1.0)"
0.06442675770326065,odel,وزيرة,وزير,-0.19352095456004859,0.12909419685678794,وزيرة-وزير,ﺮﻳﺯﻭ-ﺓﺮﻳﺯﻭ,"(0.8722029988465976, 0.9229527104959632, 0.9508650519031142, 1.0)"
0.08548368554607982,odel,ممثلة,ممثل,-0.28270947593142826,0.19722579038534843,ممثلة-ممثل,ﻞﺜﻤﻣ-ﺔﻠﺜﻤﻣ,"(0.8429834678969628, 0.9091118800461362, 0.9454825067281815, 1.0)"
0.085509014338807,odel,صحفية,صحفي,-0.14828463746141463,0.06277562312260762,صحفية-صحفي,ﻲﻔﺤﺻ-ﺔﻴﻔﺤﺻ,"(0.8429834678969628, 0.9091118800461362, 0.9454825067281815, 1.0)"
