projection,year,female occupation,male occupation,male_bias,female_bias,occupation_combined,reshaped_labels,color,translated_occupation,occupation
-0.136162835,1934,بائعة,بائع,0.1411648214124833,0.2773276559573198,بائعة-بائع,ﻊﺋﺎﺑ-ﺔﻌﺋﺎﺑ,"(0.9797001153402538, 0.7840830449826989, 0.6848904267589389, 1.0)",Seller,ﻊﺋﺎﺑ-ﺔﻌﺋﺎﺑ
-0.125263499,1934,عاملة,عامل,0.1506019359822737,0.2758654345961637,عاملة-عامل,ﻞﻣﺎﻋ-ﺔﻠﻣﺎﻋ,"(0.9824682814302191, 0.8006920415224913, 0.7061130334486736, 1.0)",Worker,ﻞﻣﺎﻋ-ﺔﻠﻣﺎﻋ
-0.096819405,1934,ممثلة,ممثل,0.2137220043143984,0.3105414095211712,ممثلة-ممثل,ﻞﺜﻤﻣ-ﺔﻠﺜﻤﻣ,"(0.9912341407151096, 0.8631295655517108, 0.7877739331026529, 1.0)",Actor,ﻞﺜﻤﻣ-ﺔﻠﺜﻤﻣ
-0.4146627,1935,بائعة,بائع,-0.021802931,0.4364656309930576,بائعة-بائع,ﻊﺋﺎﺑ-ﺔﻌﺋﺎﺑ,"(0.6461361014994232, 0.07750865051903114, 0.16032295271049596, 1.0)",Seller,ﻊﺋﺎﺑ-ﺔﻌﺋﺎﺑ
-0.06947567,1935,عاملة,عامل,0.1853787931193637,0.2548544629334009,عاملة-عامل,ﻞﻣﺎﻋ-ﺔﻠﻣﺎﻋ,"(0.9847750865051903, 0.8932718185313341, 0.8394463667820069, 1.0)",Worker,ﻞﻣﺎﻋ-ﺔﻠﻣﺎﻋ
-0.02282403,1935,ممرضة,ممرض,0.16714871,0.1899727406534285,ممرضة-ممرض,ﺽﺮﻤﻣ-ﺔﺿﺮﻤﻣ,"(0.9737024221453288, 0.9449442522106881, 0.9280276816608996, 1.0)",Nurse,ﺽﺮﻤﻣ-ﺔﺿﺮﻤﻣ
0.038691223,1935,ممثلة,ممثل,0.297304191,0.2586129680556464,ممثلة-ممثل,ﻞﺜﻤﻣ-ﺔﻠﺜﻤﻣ,"(0.9131103421760862, 0.9423298731257209, 0.95840061514802, 1.0)",Actor,ﻞﺜﻤﻣ-ﺔﻠﺜﻤﻣ
0.1389510696159027,1935,راقصة,راقص,0.1665751275903281,0.027624058,راقصة-راقص,ﺺﻗﺍﺭ-ﺔﺼﻗﺍﺭ,"(0.7227220299884662, 0.8488273740868898, 0.9134948096885814, 1.0)",Dancer,ﺺﻗﺍﺭ-ﺔﺼﻗﺍﺭ
-0.082032284,1936,عاملة,عامل,-0.014507924,0.096540207,عاملة-عامل,ﻞﻣﺎﻋ-ﺔﻠﻣﺎﻋ,"(0.9884659746251442, 0.8760476739715493, 0.809919261822376, 1.0)",Worker,ﻞﻣﺎﻋ-ﺔﻠﻣﺎﻋ
0.011745463,1936,الممثلة,ممثل,-0.102995564,0.091250101,ممثلة-ممثل,ﻞﺜﻤﻤﻟﺍ-ﺔﻠﺜﻤﻤﻟﺍ,"(0.9481737793156478, 0.9589388696655132, 0.9648596693579392, 1.0)",Actor,ﻞﺜﻤﻣ-ﺔﻠﺜﻤﻣ
0.078605014,1936,راقصة,راقص,0.1202080724568403,0.041603058,راقصة-راقص,ﺺﻗﺍﺭ-ﺔﺼﻗﺍﺭ,"(0.8488273740868899, 0.9118800461361016, 0.946559015763168, 1.0)",Dancer,ﺺﻗﺍﺭ-ﺔﺼﻗﺍﺭ
-0.079538872,1937,ممثلة,ممثل,-0.157177916,-0.236716787,ممثلة-ممثل,ﻞﺜﻤﻣ-ﺔﻠﺜﻤﻣ,"(0.9875432525951557, 0.8803537101114955, 0.8173010380622837, 1.0)",Actor,ﻞﺜﻤﻣ-ﺔﻠﺜﻤﻣ
-0.040670727,1937,عاملة,عامل,-0.164609235,-0.205279963,عاملة-عامل,ﻞﻣﺎﻋ-ﺔﻠﻣﺎﻋ,"(0.9783160322952711, 0.9234140715109573, 0.891118800461361, 1.0)",Worker,ﻞﻣﺎﻋ-ﺔﻠﻣﺎﻋ
-0.080193109,1938,الممثلة,ممثل,0.029844036,0.1100371446767097,ممثلة-ممثل,ﻞﺜﻤﻤﻟﺍ-ﺔﻠﺜﻤﻤﻟﺍ,"(0.9875432525951557, 0.8803537101114955, 0.8173010380622837, 1.0)",Actor,ﻞﺜﻤﻣ-ﺔﻠﺜﻤﻣ
0.00588489,1938,عاملة,عامل,-0.142512393,0.136627503,عاملة-عامل,ﻞﻣﺎﻋ-ﺔﻠﻣﺎﻋ,"(0.9598615916955018, 0.9644752018454441, 0.9670126874279124, 1.0)",Worker,ﻞﻣﺎﻋ-ﺔﻠﻣﺎﻋ
0.026262656,1938,راقصة,راقص,0.051091889,0.024829233,راقصة-راقص,ﺺﻗﺍﺭ-ﺔﺼﻗﺍﺭ,"(0.930642060745867, 0.9506343713956171, 0.9616301422529796, 1.0)",Dancer,ﺺﻗﺍﺭ-ﺔﺼﻗﺍﺭ
-0.031375671,1939,العاملة,عامل,0.2127902664379017,0.2441659369822011,عاملة-عامل,ﻞﻣﺎﻌﻟﺍ-ﺔﻠﻣﺎﻌﻟﺍ,"(0.9764705882352941, 0.9320261437908497, 0.9058823529411765, 1.0)",Worker,ﻞﻣﺎﻋ-ﺔﻠﻣﺎﻋ
1.964638125073748e-05,1940,العاملة,عامل,0.1721044696990447,0.1720848233177939,عاملة-عامل,ﻞﻣﺎﻌﻟﺍ-ﺔﻠﻣﺎﻌﻟﺍ,"(0.9657054978854287, 0.9672433679354094, 0.9680891964628989, 1.0)",Worker,ﻞﻣﺎﻋ-ﺔﻠﻣﺎﻋ
0.021489656,1941,عاملة,عامل,0.1347303360670633,0.11324068,عاملة-عامل,ﻞﻣﺎﻋ-ﺔﻠﻣﺎﻋ,"(0.936485966935794, 0.9534025374855825, 0.9627066512879662, 1.0)",Worker,ﻞﻣﺎﻋ-ﺔﻠﻣﺎﻋ
-0.035615058,1942,العاملة,عامل,0.3307441326441881,0.3663591909478073,عاملة-عامل,ﻞﻣﺎﻌﻟﺍ-ﺔﻠﻣﺎﻌﻟﺍ,"(0.9773933102652826, 0.9277201076509035, 0.8985005767012687, 1.0)",Worker,ﻞﻣﺎﻋ-ﺔﻠﻣﺎﻋ
-0.086496446,1944,العاملة,عامل,0.2374539827154306,0.3239504283128797,عاملة-عامل,ﻞﻣﺎﻌﻟﺍ-ﺔﻠﻣﺎﻌﻟﺍ,"(0.9893886966551326, 0.8717416378316032, 0.8025374855824683, 1.0)",Worker,ﻞﻣﺎﻋ-ﺔﻠﻣﺎﻋ
0.007772843,1944,الممثلة,ممثل,0.2197909447928822,0.2120181017767933,ممثلة-ممثل,ﻞﺜﻤﻤﻟﺍ-ﺔﻠﺜﻤﻤﻟﺍ,"(0.9598615916955018, 0.9644752018454441, 0.9670126874279124, 1.0)",Actor,ﻞﺜﻤﻣ-ﺔﻠﺜﻤﻣ
-0.161455803,1945,الممثلة,ممثل,0.058385336,0.2198411388285218,ممثلة-ممثل,ﻞﺜﻤﻤﻟﺍ-ﺔﻠﺜﻤﻤﻟﺍ,"(0.9700115340253749, 0.7259515570934255, 0.6106113033448672, 1.0)",Actor,ﻞﺜﻤﻣ-ﺔﻠﺜﻤﻣ
-0.028586872,1945,العاملة,عامل,0.060690941,0.089277812,عاملة-عامل,ﻞﻣﺎﻌﻟﺍ-ﺔﻠﻣﺎﻌﻟﺍ,"(0.9755478662053056, 0.9363321799307959, 0.9132641291810842, 1.0)",Worker,ﻞﻣﺎﻋ-ﺔﻠﻣﺎﻋ
-0.207445107,1946,الممثلة,ممثل,-0.152871792,-0.360316899,ممثلة-ممثل,ﻞﺜﻤﻤﻟﺍ-ﺔﻠﺜﻤﻤﻟﺍ,"(0.9453287197231833, 0.6205305651672431, 0.48942714340638194, 1.0)",Actor,ﻞﺜﻤﻣ-ﺔﻠﺜﻤﻣ
-0.016652788,1946,عاملة,عامل,-0.173832647,-0.190485435,عاملة-عامل,ﻞﻣﺎﻋ-ﺔﻠﻣﺎﻋ,"(0.9727797001153402, 0.9492502883506344, 0.9354094579008074, 1.0)",Worker,ﻞﻣﺎﻋ-ﺔﻠﻣﺎﻋ
-0.134109158,1947,ممثلة,ممثل,0.1841133822413876,0.3182225403489511,ممثلة-ممثل,ﻞﺜﻤﻣ-ﺔﻠﺜﻤﻣ,"(0.9797001153402538, 0.7840830449826989, 0.6848904267589389, 1.0)",Actor,ﻞﺜﻤﻣ-ﺔﻠﺜﻤﻣ
-0.047890008,1947,عاملة,عامل,0.16517532,0.2130653282891204,عاملة-عامل,ﻞﻣﺎﻋ-ﺔﻠﻣﺎﻋ,"(0.980161476355248, 0.914801999231065, 0.8763552479815455, 1.0)",Worker,ﻞﻣﺎﻋ-ﺔﻠﻣﺎﻋ
0.032662243,1947,راقصة,راقص,0.1439857249376432,0.1113234822997717,راقصة-راقص,ﺺﻗﺍﺭ-ﺔﺼﻗﺍﺭ,"(0.9189542483660131, 0.9450980392156864, 0.9594771241830066, 1.0)",Dancer,ﺺﻗﺍﺭ-ﺔﺼﻗﺍﺭ
-0.113016123,1948,عاملة,عامل,-0.020929346,0.1339454689970792,عاملة-عامل,ﻞﻣﺎﻋ-ﺔﻠﻣﺎﻋ,"(0.98800461361015, 0.833910034602076, 0.748558246828143, 1.0)",Worker,ﻞﻣﺎﻋ-ﺔﻠﻣﺎﻋ
-0.059600323,1948,الممثلة,ممثل,-0.040469361,0.1000696842997439,ممثلة-ممثل,ﻞﺜﻤﻤﻟﺍ-ﺔﻠﺜﻤﻤﻟﺍ,"(0.9829296424452134, 0.9018838908112264, 0.8542099192618224, 1.0)",Actor,ﻞﺜﻤﻣ-ﺔﻠﺜﻤﻣ
0.014728117,1948,راقصة,راقص,-0.038430928,0.023702811,راقصة-راقص,ﺺﻗﺍﺭ-ﺔﺼﻗﺍﺭ,"(0.9481737793156478, 0.9589388696655132, 0.9648596693579392, 1.0)",Dancer,ﺺﻗﺍﺭ-ﺔﺼﻗﺍﺭ
-0.16323772,1949,الممثلة,ممثل,0.0656954,0.2289331198971983,ممثلة-ممثل,ﻞﺜﻤﻤﻟﺍ-ﺔﻠﺜﻤﻤﻟﺍ,"(0.9700115340253749, 0.7259515570934255, 0.6106113033448672, 1.0)",Actor,ﻞﺜﻤﻣ-ﺔﻠﺜﻤﻣ
-0.019399105,1949,راقصة,راقص,0.1061783247408777,0.1255774297564408,راقصة-راقص,ﺺﻗﺍﺭ-ﺔﺼﻗﺍﺭ,"(0.9727797001153402, 0.9492502883506344, 0.9354094579008074, 1.0)",Dancer,ﺺﻗﺍﺭ-ﺔﺼﻗﺍﺭ
-0.011983923,1949,عاملة,عامل,0.123928823,0.1359127463076212,عاملة-عامل,ﻞﻣﺎﻋ-ﺔﻠﻣﺎﻋ,"(0.9718569780853518, 0.9535563244905806, 0.9427912341407151, 1.0)",Worker,ﻞﻣﺎﻋ-ﺔﻠﻣﺎﻋ
-0.208475099,1950,الممثلة,ممثل,-0.107840208,-0.316315307,ممثلة-ممثل,ﻞﺜﻤﻤﻟﺍ-ﺔﻠﺜﻤﻤﻟﺍ,"(0.9453287197231833, 0.6205305651672431, 0.48942714340638194, 1.0)",Actor,ﻞﺜﻤﻣ-ﺔﻠﺜﻤﻣ
-0.079622937,1950,عاملة,عامل,-0.12182493,-0.201447867,عاملة-عامل,ﻞﻣﺎﻋ-ﺔﻠﻣﺎﻋ,"(0.9875432525951557, 0.8803537101114955, 0.8173010380622837, 1.0)",Worker,ﻞﻣﺎﻋ-ﺔﻠﻣﺎﻋ
-0.088741222,1951,العاملة,عامل,-0.213504256,-0.302245478,عاملة-عامل,ﻞﻣﺎﻌﻟﺍ-ﺔﻠﻣﺎﻌﻟﺍ,"(0.9893886966551326, 0.8717416378316032, 0.8025374855824683, 1.0)",Worker,ﻞﻣﺎﻋ-ﺔﻠﻣﺎﻋ
-0.154221653,1952,العاملة,عامل,-0.046458303,-0.200679955,عاملة-عامل,ﻞﻣﺎﻌﻟﺍ-ﺔﻠﻣﺎﻌﻟﺍ,"(0.9727797001153403, 0.7425605536332179, 0.631833910034602, 1.0)",Worker,ﻞﻣﺎﻋ-ﺔﻠﻣﺎﻋ
-0.104121558,1952,الممثلة,ممثل,0.038685907,-0.142807466,ممثلة-ممثل,ﻞﺜﻤﻤﻟﺍ-ﺔﻠﺜﻤﻤﻟﺍ,"(0.9907727797001153, 0.8505190311418684, 0.7697808535178777, 1.0)",Actor,ﻞﺜﻤﻣ-ﺔﻠﺜﻤﻣ
-0.168109191,1953,ممثلة,ممثل,-0.011222331,-0.179331521,ممثلة-ممثل,ﻞﺜﻤﻣ-ﺔﻠﺜﻤﻣ,"(0.9672433679354094, 0.7093425605536331, 0.5893886966551325, 1.0)",Actor,ﻞﺜﻤﻣ-ﺔﻠﺜﻤﻣ
0.052701346,1953,عاملة,عامل,-0.143568878,-0.090867532,عاملة-عامل,ﻞﻣﺎﻋ-ﺔﻠﻣﺎﻋ,"(0.8897347174163783, 0.9312572087658594, 0.9540945790080738, 1.0)",Worker,ﻞﻣﺎﻋ-ﺔﻠﻣﺎﻋ
-0.115338822,1954,الممثلة,ممثل,0.014413234,-0.129752056,ممثلة-ممثل,ﻞﺜﻤﻤﻟﺍ-ﺔﻠﺜﻤﻤﻟﺍ,"(0.9866205305651673, 0.8256055363321797, 0.7379469434832755, 1.0)",Actor,ﻞﺜﻤﻣ-ﺔﻠﺜﻤﻣ
