Year,D Value,D After Value
1961,1.191,1.231
1964,1.4,1.401
1965,1.591,1.643
1966,1.263,1.227
1969,1.377,1.358
1970,1.207,1.195
1972,1.187,1.17
1973,1.446,1.435
1974,1.391,1.375
1975,1.237,1.246
1979,1.274,1.316
1980,1.355,1.441
1981,1.03,1.027
1983,1.456,1.493
1984,1.431,1.396
1985,1.217,1.256
1986,1.336,1.37
1987,1.388,1.41
1988,1.255,1.245
1989,1.255,1.249
1990,1.313,1.277
1992,1.201,1.207
1993,1.26,1.253
1995,1.289,1.306
1996,0.921,0.945
1997,1.474,1.491
2002,1.063,1.049
2003,0.901,0.946
2005,1.311,1.317
