,projection,year,female occupation,male occupation,male_bias,female_bias,occupation_combined,reshaped_labels,color
0,-0.1626877,1974,ممثلة,ممثل,0.17613856,-0.33882627,ممثلة-ممثل,ﻞﺜﻤﻣ-ﺔﻠﺜﻤﻣ,"(0.9700115340253749, 0.7259515570934255, 0.6106113033448672, 1.0)"
1,-0.1401043,1974,مصورة,مصور,0.0033664908,-0.14347078,مصورة-مصور,ﺭﻮﺼﻣ-ﺓﺭﻮﺼﻣ,"(0.9783160322952711, 0.7757785467128027, 0.6742791234140715, 1.0)"
2,-0.13314691,1974,ممرضة,ممرض,-0.06432524,-0.19747216,ممرضة-ممرض,ﺽﺮﻤﻣ-ﺔﺿﺮﻤﻣ,"(0.9797001153402538, 0.7840830449826989, 0.6848904267589389, 1.0)"
3,-0.1266636,1974,عاملة,عامل,0.12945312,-0.25611672,عاملة-عامل,ﻞﻣﺎﻋ-ﺔﻠﻣﺎﻋ,"(0.9824682814302191, 0.8006920415224913, 0.7061130334486736, 1.0)"
4,-0.10541949,1974,موظفة,موظف,0.10080789,-0.20622738,موظفة-موظف,ﻒﻇﻮﻣ-ﺔﻔﻇﻮﻣ,"(0.9907727797001153, 0.8505190311418684, 0.7697808535178777, 1.0)"
5,0.052067764,1974,وزيرة,وزير,0.1512129,-0.09914514,وزيرة-وزير,ﺮﻳﺯﻭ-ﺓﺮﻳﺯﻭ,"(0.8897347174163783, 0.9312572087658594, 0.9540945790080738, 1.0)"
6,0.08648282,1974,صحفية,صحفي,0.27001217,-0.18352935,صحفية-صحفي,ﻲﻔﺤﺻ-ﺔﻴﻔﺤﺻ,"(0.8371395617070359, 0.9063437139561707, 0.9444059976931949, 1.0)"
7,0.13321373,1974,سكرتيرة,سكرتير,0.15560788,-0.022394147,سكرتيرة-سكرتير,ﺮﻴﺗﺮﻜﺳ-ﺓﺮﻴﺗﺮﻜﺳ,"(0.7324106113033451, 0.8537485582468283, 0.9162629757785468, 1.0)"
8,0.1657474,1974,مديرة,مدير,0.17077404,-0.0050266422,مديرة-مدير,ﺮﻳﺪﻣ-ﺓﺮﻳﺪﻣ,"(0.654901960784314, 0.8143790849673205, 0.8941176470588236, 1.0)"
9,0.18167143,1974,كاتبة,كاتب,0.34993428,-0.16826285,كاتبة-كاتب,ﺐﺗﺎﻛ-ﺔﺒﺗﺎﻛ,"(0.6161476355247983, 0.7946943483275665, 0.883044982698962, 1.0)"
10,0.18360555,1974,المحامية,المحامي,0.40728304,-0.22367749,المحامية-المحامي,ﻲﻣﺎﺤﻤﻟﺍ-ﺔﻴﻣﺎﺤﻤﻟﺍ,"(0.6064590542099195, 0.789773164167628, 0.8802768166089966, 1.0)"
11,0.22294092,1974,الدكتورة,الدكتور,0.29277098,0.06983005,الدكتورة-الدكتور,ﺭﻮﺘﻛﺪﻟﺍ-ﺓﺭﻮﺘﻛﺪﻟﺍ,"(0.4935793925413305, 0.7225682429834681, 0.8435986159169551, 1.0)"
12,0.3440295,1974,نائبة,نائب,0.37254858,0.028519087,نائبة-نائب,ﺐﺋﺎﻧ-ﺔﺒﺋﺎﻧ,"(0.2, 0.4934256055363322, 0.7222606689734717, 1.0)"
13,0.37094182,1974,الشاعرة,الشاعر,0.44924343,-0.07830162,الشاعرة-الشاعر,ﺮﻋﺎﺸﻟﺍ-ﺓﺮﻋﺎﺸﻟﺍ,"(0.16862745098039217, 0.4519031141868512, 0.701038062283737, 1.0)"
0,-0.17570308,1975,ممثلة,ممثل,-0.1342471,0.30995017,ممثلة-ممثل,ﻞﺜﻤﻣ-ﺔﻠﺜﻤﻣ,"(0.9658592848904268, 0.701038062283737, 0.5787773933102651, 1.0)"
1,-0.16939102,1975,ممرضة,ممرض,-0.061446816,0.23083784,ممرضة-ممرض,ﺽﺮﻤﻣ-ﺔﺿﺮﻤﻣ,"(0.9672433679354094, 0.7093425605536331, 0.5893886966551325, 1.0)"
2,-0.034845226,1975,خادمة,خادم,-0.06275081,0.097596034,خادمة-خادم,ﻡﺩﺎﺧ-ﺔﻣﺩﺎﺧ,"(0.9764705882352941, 0.9320261437908497, 0.9058823529411765, 1.0)"
3,0.002316758,1975,عاملة,عامل,-0.24898982,0.24667306,عاملة-عامل,ﻞﻣﺎﻋ-ﺔﻠﻣﺎﻋ,"(0.9657054978854287, 0.9672433679354094, 0.9680891964628989, 1.0)"
4,0.009822182,1975,مديرة,مدير,-0.13176498,0.121942796,مديرة-مدير,ﺮﻳﺪﻣ-ﺓﺮﻳﺪﻣ,"(0.9540176855055748, 0.9617070357554787, 0.9659361783929258, 1.0)"
5,0.014300056,1975,سكرتيرة,سكرتير,-0.049826495,-0.03552644,سكرتيرة-سكرتير,ﺮﻴﺗﺮﻜﺳ-ﺓﺮﻴﺗﺮﻜﺳ,"(0.9481737793156478, 0.9589388696655132, 0.9648596693579392, 1.0)"
6,0.01828897,1975,مصورة,مصور,-0.15106824,0.13277927,مصورة-مصور,ﺭﻮﺼﻣ-ﺓﺭﻮﺼﻣ,"(0.942329873125721, 0.956170703575548, 0.9637831603229527, 1.0)"
7,0.0522739,1975,وزيرة,وزير,-0.18278208,0.13050818,وزيرة-وزير,ﺮﻳﺯﻭ-ﺓﺮﻳﺯﻭ,"(0.8897347174163783, 0.9312572087658594, 0.9540945790080738, 1.0)"
