,projection,year,female occupation,male occupation,male_bias,female_bias,occupation_combined,reshaped_labels,color
0,-0.2253887414293449,1934,الجندية,الجندي,-0.0642666937467855,0.2896554351761304,الجندية-الجندي,ﻱﺪﻨﺠﻟﺍ-ﺔﻳﺪﻨﺠﻟﺍ,"(0.926874279123414, 0.5780853517877739, 0.4568242983467896, 1.0)"
1,-0.1953197973796214,1934,مديرة,مدير,-0.1542782135829894,0.3495980109626109,مديرة-مدير,ﺮﻳﺪﻣ-ﺓﺮﻳﺪﻣ,"(0.9575547866205306, 0.6512110726643597, 0.515109573241061, 1.0)"
2,-0.1422509960652216,1934,الكاتبة,الكاتب,-0.0757565451097124,0.2180075411749341,الكاتبة-الكاتب,ﺐﺗﺎﻜﻟﺍ-ﺔﺒﺗﺎﻜﻟﺍ,"(0.9769319492502884, 0.7674740484429066, 0.6636678200692041, 1.0)"
3,-0.1361628345448365,1934,بائعة,بائع,0.1411648214124833,0.2773276559573198,بائعة-بائع,ﻊﺋﺎﺑ-ﺔﻌﺋﺎﺑ,"(0.9797001153402538, 0.7840830449826989, 0.6848904267589389, 1.0)"
4,-0.12526349861389,1934,عاملة,عامل,0.1506019359822737,0.2758654345961637,عاملة-عامل,ﻞﻣﺎﻋ-ﺔﻠﻣﺎﻋ,"(0.9824682814302191, 0.8006920415224913, 0.7061130334486736, 1.0)"
5,-0.0968194052067727,1934,ممثلة,ممثل,0.2137220043143984,0.3105414095211712,ممثلة-ممثل,ﻞﺜﻤﻣ-ﺔﻠﺜﻤﻣ,"(0.9912341407151096, 0.8631295655517108, 0.7877739331026529, 1.0)"
6,-0.0841969870880201,1934,خادمة,خادم,0.0518064956003387,0.1360034826883588,خادمة-خادم,ﻡﺩﺎﺧ-ﺔﻣﺩﺎﺧ,"(0.9884659746251442, 0.8760476739715493, 0.809919261822376, 1.0)"
0,-0.4146626996472424,1935,بائعة,بائع,-0.0218029313458151,0.4364656309930576,بائعة-بائع,ﻊﺋﺎﺑ-ﺔﻌﺋﺎﺑ,"(0.6461361014994232, 0.07750865051903114, 0.16032295271049596, 1.0)"
1,-0.1230294459754879,1935,الكاتبة,الكاتب,-0.1837463119368675,0.3067757579123554,الكاتبة-الكاتب,ﺐﺗﺎﻜﻟﺍ-ﺔﺒﺗﺎﻜﻟﺍ,"(0.9838523644752019, 0.8089965397923875, 0.7167243367935409, 1.0)"
2,-0.1154949564967985,1935,الجندية,الجندي,-0.1305145930453492,0.2460095495421478,الجندية-الجندي,ﻱﺪﻨﺠﻟﺍ-ﺔﻳﺪﻨﺠﻟﺍ,"(0.9866205305651673, 0.8256055363321797, 0.7379469434832755, 1.0)"
