projection,year,female occupation,male occupation,male_bias,female_bias,occupation_combined,reshaped_labels,color
-0.27819408647523414,odel,خادمة,خادم,-0.06902464335517888,0.347218729830413,خادمة-خادم,ﻡﺩﺎﺧ-ﺔﻣﺩﺎﺧ,"(0.8622837370242215, 0.42952710495963087, 0.34271434063821604, 1.0)"
-0.1915507328238258,odel,راقصة,راقص,-0.0910593905373855,0.2826101233612113,راقصة-راقص,ﺺﻗﺍﺭ-ﺔﺼﻗﺍﺭ,"(0.9589388696655133, 0.659515570934256, 0.5257208765859284, 1.0)"
-0.15741938514070442,odel,مغنية,مغني,-0.1830084372950701,0.3404278224357745,مغنية-مغني,ﻲﻨﻐﻣ-ﺔﻴﻨﻐﻣ,"(0.9713956170703576, 0.7342560553633217, 0.6212226066897346, 1.0)"
-0.1076367023913741,odel,طبيبة,طبيب,-0.23484734857658338,0.3424840509679575,طبيبة-طبيب,ﺐﻴﺒﻃ-ﺔﺒﻴﺒﻃ,"(0.9893886966551326, 0.8422145328719722, 0.7591695501730104, 1.0)"
-0.09472545981778256,odel,مصورة,مصور,-0.12055204999052192,0.21527750980830448,مصورة-مصور,ﺭﻮﺼﻣ-ﺓﺭﻮﺼﻣ,"(0.9912341407151096, 0.8631295655517108, 0.7877739331026529, 1.0)"
-0.09426051873949623,odel,عازفة,عازف,-0.1740955658483407,0.26835608458783694,عازفة-عازف,ﻑﺯﺎﻋ-ﺔﻓﺯﺎﻋ,"(0.9912341407151096, 0.8631295655517108, 0.7877739331026529, 1.0)"
-0.07731113614182639,odel,شاعرة,شاعر,-0.26560265297231517,0.34291378911414155,شاعرة-شاعر,ﺮﻋﺎﺷ-ﺓﺮﻋﺎﺷ,"(0.9866205305651673, 0.8846597462514417, 0.8246828143021915, 1.0)"
-0.05479913059591654,odel,نائبة,نائب,-0.1716675914624609,0.22646672205837745,نائبة-نائب,ﺐﺋﺎﻧ-ﺔﺒﺋﺎﻧ,"(0.982006920415225, 0.9061899269511726, 0.8615916955017301, 1.0)"
-0.04902335687330492,odel,عاملة,عامل,-0.24719042255446264,0.29621377942776755,عاملة-عامل,ﻞﻣﺎﻋ-ﺔﻠﻣﺎﻋ,"(0.980161476355248, 0.914801999231065, 0.8763552479815455, 1.0)"
-0.04902154982269982,odel,الأديبة,الأديب,-0.21504181355398558,0.2640633633766854,الأديبة-الأديب,ﺐﻳﺩﻷﺍ-ﺔﺒﻳﺩﻷﺍ,"(0.980161476355248, 0.914801999231065, 0.8763552479815455, 1.0)"
-0.022873441592370036,odel,بائعة,بائع,-0.1711097235892481,0.19398316518161815,بائعة-بائع,ﻊﺋﺎﺑ-ﺔﻌﺋﺎﺑ,"(0.9737024221453288, 0.9449442522106881, 0.9280276816608996, 1.0)"
