projection,year,female occupation,male occupation,male_bias,female_bias,occupation_combined,reshaped_labels,color
-0.24610674,file,ممرضة,ممرض,0.0062593855,-0.25236613,ممرضة-ممرض,ﺽﺮﻤﻣ-ﺔﺿﺮﻤﻣ,"(0.8991926182237601, 0.5144175317185697, 0.4079200307574009, 1.0)"
-0.1622883,file,عاملة,عامل,0.1461934,-0.3084817,عاملة-عامل,ﻞﻣﺎﻋ-ﺔﻠﻣﺎﻋ,"(0.9700115340253749, 0.7259515570934255, 0.6106113033448672, 1.0)"
-0.1267539,file,مهندسة,مهندس,0.17046955,-0.29722345,مهندسة-مهندس,ﺱﺪﻨﻬﻣ-ﺔﺳﺪﻨﻬﻣ,"(0.9824682814302191, 0.8006920415224913, 0.7061130334486736, 1.0)"
-0.10832834,file,موظفة,موظف,0.16480756,-0.2731359,موظفة-موظف,ﻒﻇﻮﻣ-ﺔﻔﻇﻮﻣ,"(0.9893886966551326, 0.8422145328719722, 0.7591695501730104, 1.0)"
-0.09028791,file,خادمة,خادم,0.1318874,-0.22217532,خادمة-خادم,ﻡﺩﺎﺧ-ﺔﻣﺩﺎﺧ,"(0.9903114186851212, 0.867435601691657, 0.7951557093425605, 1.0)"
-0.06782977,file,مديرة,مدير,0.18690805,-0.25473782,مديرة-مدير,ﺮﻳﺪﻣ-ﺓﺮﻳﺪﻣ,"(0.9847750865051903, 0.8932718185313341, 0.8394463667820069, 1.0)"
-0.06644699,file,راقصة,راقص,0.13447157,-0.20091856,راقصة-راقص,ﺺﻗﺍﺭ-ﺔﺼﻗﺍﺭ,"(0.9847750865051903, 0.8932718185313341, 0.8394463667820069, 1.0)"
-0.061182767,file,عازفة,عازف,0.1960291,-0.25721186,عازفة-عازف,ﻑﺯﺎﻋ-ﺔﻓﺯﺎﻋ,"(0.9829296424452134, 0.9018838908112264, 0.8542099192618224, 1.0)"
-0.057141334,file,سفيرة,سفير,0.18286197,-0.2400033,سفيرة-سفير,ﺮﻴﻔﺳ-ﺓﺮﻴﻔﺳ,"(0.982006920415225, 0.9061899269511726, 0.8615916955017301, 1.0)"
-0.055586636,file,باحثة,باحث,0.23998234,-0.29556897,باحثة-باحث,ﺚﺣﺎﺑ-ﺔﺜﺣﺎﺑ,"(0.982006920415225, 0.9061899269511726, 0.8615916955017301, 1.0)"
