Year,D Value,D After Value
1974,0.994,0.984
1977,1.424,1.416
1978,1.264,1.261
1981,1.31,1.304
1982,1.016,1.025
1983,1.062,1.047
1984,1.01,1.021
1985,1.367,1.37
1986,1.165,1.173
1987,1.164,1.149
1989,0.966,0.963
1990,1.362,1.356
1991,1.004,0.99
1992,1.445,1.447
1993,0.817,0.83
1994,1.024,1.024
1995,1.455,1.464
1996,1.101,1.108
1997,1.075,1.1
1998,1.194,1.218
1999,1.109,1.121
2000,1.413,1.434
2001,1.383,1.407
2002,1.382,1.391
2003,1.197,1.209
2004,0.714,0.763
2005,1.268,1.285
2006,1.51,1.508
2007,1.224,1.251
2008,0.969,0.968
2009,1.217,1.229
2010,1.347,1.366
2011,0.879,0.952
