projection,year,female occupation,male occupation,male_bias,female_bias,occupation_combined,reshaped_labels,color
-0.31666017,odel,خادمة,خادم,-0.0851952,0.40185535,خادمة-خادم,ﻡﺩﺎﺧ-ﺔﻣﺩﺎﺧ,"(0.8115340253748559, 0.3211072664359862, 0.2758169934640523, 1.0)"
-0.20830262,odel,راقصة,راقص,-0.10812069,0.3164233,راقصة-راقص,ﺺﻗﺍﺭ-ﺔﺼﻗﺍﺭ,"(0.9453287197231833, 0.6205305651672431, 0.48942714340638194, 1.0)"
-0.19882524,odel,مغنية,مغني,-0.20790723,0.40673247,مغنية-مغني,ﻲﻨﻐﻣ-ﺔﻴﻨﻐﻣ,"(0.9575547866205306, 0.6512110726643597, 0.515109573241061, 1.0)"
-0.13663352,odel,طبيبة,طبيب,-0.25043064,0.38706416,طبيبة-طبيب,ﺐﻴﺒﻃ-ﺔﺒﻴﺒﻃ,"(0.9797001153402538, 0.7840830449826989, 0.6848904267589389, 1.0)"
-0.11715081,odel,عازفة,عازف,-0.18883765,0.30598846,عازفة-عازف,ﻑﺯﺎﻋ-ﺔﻓﺯﺎﻋ,"(0.9866205305651673, 0.8256055363321797, 0.7379469434832755, 1.0)"
-0.11165355,odel,نائبة,نائب,-0.16769885,0.2793524,نائبة-نائب,ﺐﺋﺎﻧ-ﺔﺒﺋﺎﻧ,"(0.98800461361015, 0.833910034602076, 0.748558246828143, 1.0)"
-0.10983434,odel,شاعرة,شاعر,-0.28989232,0.39972666,شاعرة-شاعر,ﺮﻋﺎﺷ-ﺓﺮﻋﺎﺷ,"(0.98800461361015, 0.833910034602076, 0.748558246828143, 1.0)"
-0.07768062,odel,مصورة,مصور,-0.15646969,0.2341503,مصورة-مصور,ﺭﻮﺼﻣ-ﺓﺭﻮﺼﻣ,"(0.9866205305651673, 0.8846597462514417, 0.8246828143021915, 1.0)"
-0.060481474,odel,سفيرة,سفير,-0.21843068,0.27891216,سفيرة-سفير,ﺮﻴﻔﺳ-ﺓﺮﻴﻔﺳ,"(0.9829296424452134, 0.9018838908112264, 0.8542099192618224, 1.0)"
-0.05648014,odel,الأديبة,الأديب,-0.24790576,0.3043859,الأديبة-الأديب,ﺐﻳﺩﻷﺍ-ﺔﺒﻳﺩﻷﺍ,"(0.982006920415225, 0.9061899269511726, 0.8615916955017301, 1.0)"
-0.052002132,odel,عاملة,عامل,-0.27512124,0.32712337,عاملة-عامل,ﻞﻣﺎﻋ-ﺔﻠﻣﺎﻋ,"(0.9810841983852365, 0.9104959630911187, 0.8689734717416377, 1.0)"
-0.050039187,odel,وزيرة,وزير,-0.19315867,0.24319786,وزيرة-وزير,ﺮﻳﺯﻭ-ﺓﺮﻳﺯﻭ,"(0.980161476355248, 0.914801999231065, 0.8763552479815455, 1.0)"
-0.038909018,odel,محامية,محامي,-0.25127858,0.2901876,محامية-محامي,ﻲﻣﺎﺤﻣ-ﺔﻴﻣﺎﺤﻣ,"(0.9773933102652826, 0.9277201076509035, 0.8985005767012687, 1.0)"
-0.030981481,odel,بائعة,بائع,-0.19156133,0.22254281,بائعة-بائع,ﻊﺋﺎﺑ-ﺔﻌﺋﺎﺑ,"(0.9755478662053056, 0.9363321799307959, 0.9132641291810842, 1.0)"
-0.021505117,odel,فنانة,فنان,-0.3715227,0.3930278,فنانة-فنان,ﻥﺎﻨﻓ-ﺔﻧﺎﻨﻓ,"(0.9737024221453288, 0.9449442522106881, 0.9280276816608996, 1.0)"
-0.014203072,odel,موظفة,موظف,-0.37582156,0.39002463,موظفة-موظف,ﻒﻇﻮﻣ-ﺔﻔﻇﻮﻣ,"(0.9718569780853518, 0.9535563244905806, 0.9427912341407151, 1.0)"
-0.012837708,odel,ممرضة,ممرض,-0.23442891,0.24726662,ممرضة-ممرض,ﺽﺮﻤﻣ-ﺔﺿﺮﻤﻣ,"(0.9718569780853518, 0.9535563244905806, 0.9427912341407151, 1.0)"
-0.010038257,odel,كاتبة,كاتب,-0.31195349,0.32199174,كاتبة-كاتب,ﺐﺗﺎﻛ-ﺔﺒﺗﺎﻛ,"(0.9709342560553633, 0.9578623606305268, 0.9501730103806229, 1.0)"
-0.008706182,odel,ممثلة,ممثل,-0.28975374,0.29845992,ممثلة-ممثل,ﻞﺜﻤﻣ-ﺔﻠﺜﻤﻣ,"(0.9709342560553633, 0.9578623606305268, 0.9501730103806229, 1.0)"
0.027910337,odel,سكرتيرة,سكرتير,-0.2709983,0.24308796,سكرتيرة-سكرتير,ﺮﻴﺗﺮﻜﺳ-ﺓﺮﻴﺗﺮﻜﺳ,"(0.92479815455594, 0.9478662053056517, 0.960553633217993, 1.0)"
0.03885992,odel,مديرة,مدير,-0.21645862,0.1775987,مديرة-مدير,ﺮﻳﺪﻣ-ﺓﺮﻳﺪﻣ,"(0.9131103421760862, 0.9423298731257209, 0.95840061514802, 1.0)"
0.048365146,odel,مهندسة,مهندس,-0.3257063,0.27734116,مهندسة-مهندس,ﺱﺪﻨﻬﻣ-ﺔﺳﺪﻨﻬﻣ,"(0.8955786236063054, 0.9340253748558247, 0.9551710880430604, 1.0)"
0.0492626,odel,أستاذة,أستاذ,-0.29567525,0.24641265,أستاذة-أستاذ,ﺫﺎﺘﺳﺃ-ﺓﺫﺎﺘﺳﺃ,"(0.8955786236063054, 0.9340253748558247, 0.9551710880430604, 1.0)"
0.06614295,odel,صحفية,صحفي,-0.17160054,0.10545759,صحفية-صحفي,ﻲﻔﺤﺻ-ﺔﻴﻔﺤﺻ,"(0.8722029988465976, 0.9229527104959632, 0.9508650519031142, 1.0)"
0.07725912,odel,باحثة,باحث,-0.36946073,0.2922016,باحثة-باحث,ﺚﺣﺎﺑ-ﺔﺜﺣﺎﺑ,"(0.8546712802768167, 0.914648212226067, 0.9476355247981546, 1.0)"
0.08933531,odel,صيدلانية,صيدلي,-0.22735472,0.13801941,صيدلانية-صيدلي,ﻲﻟﺪﻴﺻ-ﺔﻴﻧﻻﺪﻴﺻ,"(0.8371395617070359, 0.9063437139561707, 0.9444059976931949, 1.0)"
0.09804869,odel,جندية,جندي,-0.16704498,0.068996295,جندية-جندي,ﻱﺪﻨﺟ-ﺔﻳﺪﻨﺟ,"(0.8196078431372551, 0.8980392156862746, 0.9411764705882353, 1.0)"
0.119929045,odel,البروفيسورة,البروفيسور,-0.2861282,0.16619915,البروفيسورة-البروفيسور,ﺭﻮﺴﻴﻓﻭﺮﺒﻟﺍ-ﺓﺭﻮﺴﻴﻓﻭﺮﺒﻟﺍ,"(0.7711649365628607, 0.8734332948865823, 0.9273356401384084, 1.0)"
0.20490164,odel,دكتورة,دكتور,-0.28803813,0.08313651,دكتورة-دكتور,ﺭﻮﺘﻛﺩ-ﺓﺭﻮﺘﻛﺩ,"(0.5543252595155715, 0.7610149942329878, 0.8643598615916958, 1.0)"
0.23644006,odel,حارسة,حارس,-0.30177233,0.06533227,حارسة-حارس,ﺱﺭﺎﺣ-ﺔﺳﺭﺎﺣ,"(0.45713187235678604, 0.6995001922337564, 0.8311418685121108, 1.0)"
0.23728633,odel,رسامة,رسام,-0.38330173,0.1460154,رسامة-رسام,ﻡﺎﺳﺭ-ﺔﻣﺎﺳﺭ,"(0.45713187235678604, 0.6995001922337564, 0.8311418685121108, 1.0)"
